analysis_id,tx0597263cjh2lt
gene_accession_id,MGI:2684980
parameter_id,IMPC_DXA_003_001
gene_symbol,Mms22l
mouse_life_stage,Early adult
pvalue,0.4494175
mouse_strain,C57BL
parameter_name,Lean mass
