parameter_id,IMPC_ACS_037_001
gene_accession_id,MGI:1931322
parameter_name,% Pre-pulse inhibition - Global
analysis_id,2ad3nl4he42o318
pvalue,0.791719
gene_symbol,Car13
mouse_life_stage,Early adult
mouse_strain,C57BL
