mouse_life_stage,Late adult
parameter_id,ESLIM_004_001_701
mouse_strain,C57BL
analysis_id,fiv5tizt75n3d69
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
pvalue,0.06760695
parameter_name,Glucose response AUC
