gene_symbol,Rab22a
mouse_strain,C57BL
parameter_name,Startle response
pvalue,0.1946489
gene_accession_id,MGI:105072
parameter_id,ESLIM_008_001_013
mouse_life_stage,Early adult
analysis_id,uw240lse5q4vic6
