analysis_id,02162745767551n
gene_accession_id,MGI:2684980
parameter_id,MGP_IMM_071_001
gene_symbol,Mms22l
pvalue,0.8136204
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
