analysis_id,n1rw3m8811zib4e
parameter_id,IMPC_CBC_011_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Wars2
pvalue,0.3113279
gene_accession_id,MGI:1917810
parameter_name,Iron
