parameter_name,Center permanence time
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:2446274
analysis_id,7011645510gs872
gene_symbol,Frmpd1
pvalue,0.965833
mouse_life_stage,Late adult
mouse_strain,C57BL
