analysis_id,0d280jt2v70ej0r
pvalue,0.4513103
parameter_id,MGP_CSD_066_001
parameter_name,Snout morphology
gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
mouse_strain,C57BL
