analysis_id,9sk498ipqc13357
pvalue,0.7648309
parameter_id,IMPC_ECH_001_001
parameter_name,End-Systolic Diameter
mouse_strain,C57BL
gene_symbol,Ahcy
gene_accession_id,MGI:87968
mouse_life_stage,E9.5
