parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.966423
gene_symbol,F2
analysis_id,388q78t0l4d5h83
gene_accession_id,MGI:88380
