parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:1925049
gene_symbol,Sla2
parameter_name,Alkaline phosphatase
analysis_id,442906149763d5z
pvalue,0.214279
mouse_life_stage,Early adult
mouse_strain,C57BL
