Gene_symbol,Secisbp2l
Pvalue,4.702211e-07
Parameter_name,Forelimb grip strength normalised against body weight
Gene_accession_id,MGI:1917604
Analysis_id,a68j8pu05yt57x3
Parameter_id,JAXLA_GRS_010_001
Mouse_strain,C57BL
Mouse_life_stage,Late adult
