gene_symbol,Hnf4a
pvalue,0.4039784
parameter_id,MGP_IMM_101_001
parameter_name,KLRG1+ NK cells - % of CD45+
analysis_id,36h5x7lf0g3w41b
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:109128
