analysis_id,6yd036hcrfx956o
gene_symbol,Slc39a10
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1914515
pvalue,0.2042904
parameter_id,IMPC_HEM_002_001
parameter_name,Red blood cell count
