analysis_id,b587073ri9489l9
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_017_001
gene_symbol,Arpc2
parameter_name,Center average speed
mouse_strain,C57BL
pvalue,0.8440615
gene_accession_id,MGI:1923959
