gene_symbol,Bdh2
pvalue,0.3486811
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,b510387757o4685
gene_accession_id,MGI:1917022
parameter_id,MGP_IMM_022_001
mouse_life_stage,Early adult
