parameter_name,HRV
gene_symbol,Zmynd19
analysis_id,2165t28375rr8zq
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1914437
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7654544
