parameter_name,Clavicle
parameter_id,IMPC_XRY_007_001
gene_symbol,Kif24
pvalue,0.8228701
mouse_life_stage,Early adult
analysis_id,7hs1k8g73on923f
mouse_strain,C57BL
gene_accession_id,MGI:1918345
