analysis_id,49gf5q833ti64mm
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
pvalue,0.9076187
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C56BL
