parameter_name,Platelet count
analysis_id,65evg0vs26n9k0x
gene_accession_id,MGI:96757
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lcn2
pvalue,0.8248438
