gene_symbol,Arpc5l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
analysis_id,z96abk3y15n2so3
pvalue,0.6526172
parameter_id,JAX_OFD_020_001
gene_accession_id,MGI:1921442
