analysis_id,6v01c64502rmfv2
parameter_name,Weight
mouse_strain,C57BL
gene_accession_id,MGI:2140475
pvalue,0.5839643
mouse_life_stage,Early adult
gene_symbol,AU040320
parameter_id,CCP_LFO_001_001
