parameter_name,Fructosamine
gene_symbol,Snap23
pvalue,0.9859167
parameter_id,IMPC_CBC_020_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
analysis_id,04w1uy048l52mv7
