parameter_name,Others
pvalue,0.3316684
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
parameter_id,IMPC_IMM_006_001
mouse_strain,C57BL
analysis_id,466rcgl1ojq925l
gene_symbol,Slc17a9
