analysis_id,k0r1993yjc33bcp
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Glucose
gene_symbol,Lcn2
gene_accession_id,MGI:96757
pvalue,0.01367808
parameter_id,IMPC_CBC_018_001
