analysis_id,cqf030350z0p4o5
parameter_id,IMPC_ACS_037_001
mouse_strain,C57BL
gene_symbol,Cntfr
parameter_name,% Pre-pulse inhibition - Global
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
pvalue,0.3531609
