parameter_name,Fasted blood glucose concentration
parameter_id,IMPC_IPG_010_001
analysis_id,4gka3578sd08168
gene_accession_id,MGI:3026886
mouse_strain,C57BL
pvalue,0.1015684
gene_symbol,Cdin1
mouse_life_stage,Early adult
