gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
pvalue,0.8940943
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,002220i3i3c4y5b
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_MLN_009_001
