gene_symbol,Ahcy
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:87968
mouse_strain,C57BL
analysis_id,68xutpd4902d2qa
pvalue,0.7306609
parameter_name,% Pre-pulse inhibition - PPI2
mouse_life_stage,E9.5
