analysis_id,7k045g9118bs1r0
mouse_life_stage,Early adult
gene_symbol,Ap5s1
pvalue,0.8922077
parameter_id,IMPC_CSD_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1916846
parameter_name,Coat - color pattern - back
