analysis_id,7sy1n83noj25122
mouse_strain,C57BL
pvalue,0.66171
parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_life_stage,E12.5
