analysis_id,dz0wu4tji2m2o5l
gene_accession_id,MGI:1917810
parameter_id,MGP_PBI_014_001
mouse_life_stage,E12.5
gene_symbol,Wars2
parameter_name,B cell percentage
pvalue,0.9928265
mouse_strain,C57BL
