gene_symbol,Kdm4c
analysis_id,02k12dna37274a8
parameter_id,IMPC_IMM_065_001
pvalue,0.1656825
parameter_name,B2B Cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1924054
