analysis_id,0nk3rb04s1g6uj0
gene_accession_id,MGI:105072
pvalue,0.6368451
parameter_name,Heart looping
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
mouse_strain,C57BL
gene_symbol,Rab22a
