analysis_id,4yzp4518ljo6w9x
parameter_name,Total ab T cells - % of CD45+
gene_accession_id,MGI:1913483
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.8348014
gene_symbol,Dmap1
parameter_id,MGP_IMM_070_001
