analysis_id,tki1c3l85t502i3
gene_accession_id,MGI:1913483
parameter_name,Alkaline phosphatase
gene_symbol,Dmap1
parameter_id,IMPC_CBC_014_001
mouse_life_stage,E12.5
pvalue,0.7268484
mouse_strain,C57BL
