parameter_name,Fusion of vertebrae
mouse_life_stage,E15.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,M-G-P_006_001_026
analysis_id,7nm329z89j2879m
pvalue,0.567129
