analysis_id,9n9q737c1539ox0
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.9532849
