analysis_id,t6coy3441lhpoej
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.914097
gene_accession_id,MGI:1915472
gene_symbol,Tubb4b
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
