gene_symbol,Dmap1
pvalue,0.6169841
mouse_life_stage,E12.5
parameter_name,Coat colouration
gene_accession_id,MGI:1913483
analysis_id,64g4894c15df93h
mouse_strain,C57BL
parameter_id,M-G-P_026_001_004
