analysis_id,34h9n9234y08516
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.4339893
parameter_id,JAX_LDT_003_001
gene_accession_id,MGI:2444554
parameter_name,Time mobile light side
gene_symbol,Mapkap1
