analysis_id,k7adi80f61jc82h
parameter_id,IMPC_ECH_005_001
mouse_life_stage,Early adult
parameter_name,Fractional Shortening
pvalue,0.8570901
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_strain,C57BL
