gene_symbol,Med22
mouse_strain,C57BL
analysis_id,65284455h9886j8
parameter_id,IMPC_GEL_006_001
pvalue,0.8308805
gene_accession_id,MGI:98446
mouse_life_stage,Early adult
parameter_name,Pericardium Morphology
