parameter_name,White blood cell-count
mouse_strain,C57BL
analysis_id,44213t90644s96b
gene_symbol,Tox
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
pvalue,0.7075609
parameter_id,M-G-P_016_001_001
