gene_symbol,Psd4
mouse_strain,C57BL
analysis_id,e3etv8f5q6q1cu5
gene_accession_id,MGI:2674093
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
pvalue,0.7659074
