parameter_name,center - distance
mouse_strain,C57BL
gene_symbol,Ints7
parameter_id,M-G-P_007_001_010
analysis_id,o426ujd6860f3mc
pvalue,0.7478776
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
