parameter_name,Periphery permanence time
mouse_strain,C57BL
analysis_id,ej9c018dht2c462
parameter_id,JAX_OFD_012_001
pvalue,0.06252528
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
gene_symbol,Psd4
