analysis_id,7nzf6o2wd0qaylr
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:2140475
parameter_name,Latency to first transition into dark
gene_symbol,AU040320
pvalue,0.5986934
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
