parameter_name,Aspartate aminotransferase
parameter_id,IMPC_CBC_012_001
analysis_id,7ceo8jj950r20df
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
mouse_strain,C57BL
gene_symbol,Atrn
pvalue,0.769563
