gene_symbol,Trpa1
parameter_id,IMPC_IMM_046_001
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.9801924
analysis_id,080316520xt9x01
mouse_strain,C57BL
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
