parameter_id,IMPC_GEL_027_001
pvalue,0.7056398
gene_accession_id,MGI:1276578
mouse_strain,C57BL
analysis_id,7vs8r5n97x67r4y
gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_name,Neural tube closure
