analysis_id,b8hjvbx2z156395
gene_accession_id,MGI:2444114
parameter_name,Center permanence time
mouse_strain,C57BL
pvalue,0.4169073
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
gene_symbol,Zcchc2
