analysis_id,1t4v3h0ea2r4k8x
pvalue,0.209059
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
