parameter_name,Neutrophil percentage
pvalue,0.6545133
analysis_id,c3feq42pnt51q97
mouse_strain,C57BL
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
gene_symbol,Dmap1
