analysis_id,5u04jzqr74879ls
gene_symbol,Zmynd8
mouse_strain,129SV
parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
pvalue,0.1357345
gene_accession_id,MGI:1918025
