analysis_id,8pz0y3wba919dy4
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,M-G-P_016_001_001
parameter_name,White blood cell-count
gene_accession_id,MGI:1917604
pvalue,0.7740972
