gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
pvalue,0.6798842
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
analysis_id,xbi0mvizw912db9
parameter_id,IMPC_CSD_047_001
