gene_symbol,Wars2
gene_accession_id,MGI:1917810
analysis_id,6748csfj250vfde
mouse_strain,C57BL
pvalue,0.936899
parameter_name,CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_072_001
mouse_life_stage,E9.5
