parameter_name,Fructosamine
pvalue,0.07076384
parameter_id,IMPC_CBC_020_001
gene_symbol,Frmpd1
analysis_id,979x1br65h7mmm1
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Middle aged adult
