parameter_id,JAXLA_CSD_023_001
gene_symbol,Gfi1b
pvalue,0.5315251
analysis_id,wh0o1l5cg4luyfp
mouse_life_stage,Early adult
gene_accession_id,MGI:1276578
mouse_strain,C57BL
parameter_name,Vibrissae - presence
