analysis_id,1ia279le1816je5
pvalue,0.7458804
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,MGP_PBI_001_001
parameter_name,Total T cell percentage
mouse_strain,C57BL
mouse_life_stage,E9.5
