parameter_name,PQ
gene_symbol,Trdmt1
parameter_id,IMPC_ECG_005_001
analysis_id,tsy5mwb9727317n
pvalue,0.2640526
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
mouse_strain,C57BL
