analysis_id,c4h659v7v236hk5
mouse_life_stage,Early adult
parameter_name,Periphery resting time
mouse_strain,C53BL
parameter_id,ESLIM_007_001_007
gene_symbol,Arnt
pvalue,0.4155042
gene_accession_id,MGI:88071
