parameter_name,BMC/Body weight
gene_symbol,Tubb4b
analysis_id,8386171h66g2l2d
mouse_strain,C57BL
pvalue,0.07008965
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_id,IMPC_DXA_007_001
